"iso3","year","median","varnum"
"LSO",2015,68.66306,"01"
"LSO",2018,68.90879,"01"
"LTU",1990,60.02885,"01"
"LTU",1995,60.76669,"01"
"LTU",2000,68.97845,"01"
"LTU",2005,71.24975,"01"
"LTU",2010,65.29593,"01"
"LTU",2015,65.58352,"01"
"LTU",2018,69.36159,"01"
"LUX",1990,84.58945,"01"
"LUX",1995,84.418,"01"
"LUX",2000,86.28391,"01"
"LUX",2005,86.34635,"01"
"LUX",2010,86.33803,"01"
"LUX",2015,85.49132,"01"
"LUX",2018,85.93422,"01"
"LVA",1990,44.0672,"01"
"LVA",1995,53.62698,"01"
"LVA",2000,63.44522,"01"
"LVA",2005,63.7456,"01"
"LVA",2010,57.91804,"01"
"LVA",2015,55.77791,"01"
"LVA",2018,59.10109,"01"
"MAR",1990,54.34099,"01"
"MAR",1995,53.65708,"01"
"MAR",2000,73.57066,"01"
"MAR",2005,74.78043,"01"
"MAR",2010,89.17024,"01"
"MAR",2015,87.69183,"01"
"MAR",2018,96.23003,"01"
"MDA",1990,65.84687,"01"
"MDA",1995,71.45459,"01"
"MDA",2000,63.83303,"01"
"MDA",2005,51.25089,"01"
"MDA",2010,50.34609,"01"
"MDA",2015,72.53788,"01"
"MDA",2018,98.31009,"01"
"MDG",1990,86.09513,"01"
"MDG",1995,87.42,"01"
"MDG",2000,88.47229,"01"
"MDG",2005,91.27473,"01"
"MDG",2010,95.43348,"01"
"MDG",2015,89.86453,"01"
"MDG",2018,89.63511,"01"
"MDV",1990,20.54632,"01"
"MDV",1995,67.17638,"01"
"MDV",2000,63.84044,"01"
"MDV",2005,87.86466,"01"
"MDV",2010,104.02998,"01"
"MDV",2015,172.20929,"01"
"MDV",2018,230.44614,"01"
"MEX",1990,79.25378,"01"
"MEX",1995,105.76455,"01"
"MEX",2000,126.68653,"01"
"MEX",2005,133.34005,"01"
"MEX",2010,107.29608,"01"
"MEX",2015,131.49395,"01"
"MEX",2018,149.84231,"01"
"MHL",1990,86.67696,"01"
"MHL",1995,84.9944,"01"
"MHL",2000,99.23083,"01"
"MHL",2005,100.94964,"01"
"MHL",2010,114.4723,"01"
"MHL",2015,111.66973,"01"
"MHL",2018,112.43618,"01"
"MKD",1990,60.06636,"01"
"MKD",1995,64.0223,"01"
"MKD",2000,87.70101,"01"
"MKD",2005,84.11479,"01"
"MKD",2010,80.50014,"01"
"MKD",2015,83.52667,"01"
"MKD",2018,91.93946,"01"
"MLI",1990,65.97381,"01"
"MLI",1995,67.10393,"01"
"MLI",2000,68.416,"01"
"MLI",2005,70.50502,"01"
"MLI",2010,72.14158,"01"
"MLI",2015,68.97498,"01"
"MLI",2018,70.01965,"01"
"MLT",1990,123.72484,"01"
"MLT",1995,126.51916,"01"
"MLT",2000,125.45478,"01"
"MLT",2005,125.09296,"01"
"MLT",2010,126.1156,"01"
"MLT",2015,131.51688,"01"
"MLT",2018,132.77662,"01"
"MMR",1990,76.67872,"01"
"MMR",1995,78.36675,"01"
"MMR",2000,80.18134,"01"
"MMR",2005,82.30414,"01"
"MMR",2010,84.91798,"01"
"MMR",2015,79.30048,"01"
"MMR",2018,79.47382,"01"
"MNE",1990,55.24451,"01"
"MNE",1995,64.9345,"01"
"MNE",2000,84.07246,"01"
"MNE",2005,97.4007,"01"
"MNE",2010,251.68751,"01"
"MNE",2015,211.29004,"01"
"MNE",2018,245.39026,"01"
"MNG",1990,43.66877,"01"
"MNG",1995,44.34505,"01"
"MNG",2000,46.70223,"01"
"MNG",2005,47.93317,"01"
"MNG",2010,48.95168,"01"
"MNG",2015,48.75445,"01"
"MNG",2018,48.70779,"01"
"MOZ",1990,98.72154,"01"
"MOZ",1995,99.23346,"01"
"MOZ",2000,99.38936,"01"
"MOZ",2005,100.9856,"01"
"MOZ",2010,104.90401,"01"
"MOZ",2015,102.34358,"01"
"MOZ",2018,102.29706,"01"
"MRT",1990,19.28793,"01"
"MRT",1995,27.80491,"01"
"MRT",2000,27.82712,"01"
"MRT",2005,29.60689,"01"
"MRT",2010,32.76157,"01"
"MRT",2015,34.32679,"01"
"MRT",2018,34.82231,"01"
"MUS",1990,73.18608,"01"
"MUS",1995,74.13382,"01"
"MUS",2000,73.31927,"01"
"MUS",2005,78.52671,"01"
"MUS",2010,84.49196,"01"
"MUS",2015,76.54292,"01"
"MUS",2018,76.75791,"01"
